time;x;y;fx;fy
63;120;-120;0;53
126;120;-120;0;53
189;120;-117;41;146
252;120;-115;41;146
315;120;-113;41;146
378;120;-109;41;146
441;120;-107;41;146
504;120;-105;0;146
567;120;-103;0;146
630;120;-101;0;146
693;120;-97;0;146
756;120;-95;0;146
819;120;-93;0;161
882;120;-88;0;161
945;120;-85;0;161
1008;120;-83;0;161
1071;120;-80;0;161
1134;120;-78;0;145
1197;120;-74;0;145
1260;120;-72;0;145
1323;120;-70;0;145
1386;120;-68;0;145
1449;120;-64;0;148
1512;120;-62;0;148
1575;120;-60;0;148
1638;120;-58;0;148
1701;120;-53;0;177
1764;120;-51;0;177
1827;120;-48;0;177
1890;120;-43;0;177
1953;120;-41;0;177
2016;120;-38;0;208
2079;120;-35;0;208
2142;120;-32;0;208
2205;120;-25;0;208
2268;120;-22;0;208
2331;120;-18;0;261
2394;120;-9;0;261
2457;120;-4;0;261
2520;120;0;0;261
2583;120;4;0;261
2646;120;9;0;261
2709;120;15;0;191
2772;120;18;0;191
2835;120;21;0;191
2898;120;27;0;191
2961;120;28;0;94
3024;120;28;0;94
3087;120;28;0;94
3150;120;28;0;94
3213;120;28;0;94
3276;120;29;0;144
3339;120;32;0;144
3402;120;36;0;144
3465;120;38;0;144
3528;120;40;0;144
3591;120;42;0;192
3654;120;45;0;192
3717;120;51;0;192
3780;120;54;0;192
3843;120;57;0;192
3906;120;62;0;83
3969;120;62;0;83
4032;120;62;0;83
4095;120;62;0;83
4158;120;62;0;83
4221;120;62;0;137
4284;120;64;0;137
4347;120;66;0;137
4410;120;70;0;137
4473;120;72;0;137
4536;120;74;0;209
4599;120;77;0;209
4662;120;84;0;209
4725;120;87;0;209
4788;120;91;0;209
4851;120;94;0;209
4914;120;94;0;38
4977;120;94;0;38
5040;120;94;0;38
5103;120;94;0;38
5166;120;96;0;158
5229;120;98;0;158
5292;120;100;0;158
5355;120;102;0;158
5418;120;106;0;158
5481;120;107;0;81
5544;120;107;0;81
5607;120;107;0;81
5670;120;107;0;81
5733;120;107;0;81
5796;120;107;0;113
5859;120;109;0;113
5922;120;112;0;113
5985;120;113;0;113
6048;120;115;0;113
6111;120;117;0;178
6174;120;122;0;178
6237;120;124;0;178
6300;120;127;0;178
6363;120;129;0;178
6426;120;130;47;0
6489;120;130;47;0
6552;120;130;47;0
6615;120;130;47;0
6678;120;130;37;0
6741;120;130;37;0
6804;120;130;37;0
6867;120;130;37;0
6930;120;130;37;0
6993;120;130;40;0
7056;120;130;40;0
7119;120;130;40;0
7182;120;130;40;0
7245;120;130;40;0
7308;120;130;40;0
7371;120;130;0;0
7434;120;130;0;0
7497;120;130;0;0
7560;120;130;0;0
7623;120;130;0;0
7686;120;130;0;-69
7749;120;130;0;-69
7812;120;130;0;-69
7875;120;130;0;-69
7938;120;130;0;-78
8001;120;130;0;-78
8064;120;130;0;-78
8127;120;130;0;-78
8190;120;130;0;-78
8253;120;130;0;-105
8316;120;130;0;-105
8379;120;130;0;-105
