X;Y
120;117
119;117
117;117
116;117
113;117
112;117
110;117
108;117
105;117
103;117
101;116
100;113
100;103
100;99
100;94
100;89
100;89
100;89
100;89
100;89
100;89
100;89
100;89
100;89
100;89
100;87
99;83
97;80
92;73
90;70
88;68
86;68
81;68
79;68
76;68
74;68
71;68
69;68
68;68
66;68
63;66
62;63
60;61
59;59
57;57
54;55
53;55
51;55
48;55
46;55
45;53
45;51
45;46
45;43
45;41
45;39
42;35
41;33
39;30
38;28
34;28
32;28
30;28
28;28
24;27
22;25
21;22
19;20
15;16
14;14
12;11
11;9
7;4
6;1
4;0
3;0
0;0
-1;0
-3;0
-5;0
-6;-3
-6;-5
-6;-7
-6;-9
-6;-11
-8;-15
-10;-17
-11;-19
-15;-23
-16;-24
-19;-24
-21;-24
-26;-24
-28;-24
-31;-25
-32;-31
-32;-33
-32;-36
-32;-41
-32;-44
-34;-47
-36;-50
-37;-53
-41;-59
-43;-60
-45;-62
-47;-64
-52;-68
-54;-70
-56;-70
-58;-70
-61;-70
-62;-70
-64;-70
-65;-71
-67;-73
-70;-76
-72;-78
-74;-80
-76;-82
-79;-86
-80;-88
-82;-90
-83;-92
-86;-92
-88;-92
-90;-92
-92;-92
-96;-94
-98;-95
-100;-97
-103;-100
-104;-101
-106;-103
-107;-105
-108;-107
-108;-110
-108;-112
-108;-114
-108;-117
-108;-119
-108;-121
-108;-124
-108;-124
-108;-124
-108;-124
-108;-124
-108;-124
-108;-124
-108;-124
-108;-124
-108;-124
-108;-124
-108;-124
-108;-124
