X;Y
-108;-124
-106;-124
-103;-124
-96;-124
-93;-124
-89;-124
-88;-124
-88;-124
-88;-124
-88;-124
-88;-124
-86;-124
-80;-124
-76;-124
-73;-124
-67;-124
-64;-124
-60;-124
-57;-124
-54;-124
-47;-124
-42;-124
-38;-124
-28;-124
-23;-124
-19;-124
-15;-124
-11;-124
-4;-124
0;-124
2;-124
9;-124
13;-124
17;-124
20;-124
24;-124
31;-124
35;-124
38;-124
46;-124
49;-124
53;-124
57;-124
60;-124
67;-124
71;-124
78;-124
82;-124
86;-124
89;-124
97;-124
97;-124
104;-124
108;-124
111;-124
115;-124
122;-124
126;-124
130;-124
137;-124
141;-124
143;-124
147;-124
147;-124
151;-124
153;-124
