X;Y
-108;114
-108;114
-108;114
-108;114
-108;111
-108;109
-108;107
-108;104
-108;101
-108;94
-108;91
-108;87
-108;84
-108;82
-108;79
-108;77
-107;75
-105;73
-102;73
-101;73
-99;73
-97;73
-95;73
-91;70
-89;68
-88;66
-86;65
-86;63
-86;59
-86;57
-86;55
-86;51
-86;49
-86;46
-86;43
-86;36
-86;33
-86;30
-86;26
-86;17
-86;12
-86;7
-86;2
-86;-4
-86;-7
-86;-10
-86;-13
-86;-18
-86;-20
-86;-22
-86;-24
-86;-26
-86;-30
-86;-35
-86;-38
-86;-40
-86;-43
-86;-45
-86;-48
-86;-50
-86;-54
-86;-56
-86;-58
-86;-61
-86;-63
-86;-64
-86;-67
-86;-69
-86;-71
-86;-73
-86;-75
-86;-78
-86;-80
-86;-82
-86;-84
-86;-88
-86;-92
-86;-94
-86;-95
-86;-97
-86;-99
-86;-102
-86;-104
-86;-105
-86;-107
-86;-108
-86;-111
-86;-112
-86;-112
-86;-112
-86;-112
-86;-112
-86;-113
-86;-117
-86;-119
-83;-120
-81;-122
-77;-127
-75;-130
-73;-130
-73;-130
-73;-130
-73;-130
-73;-130
-73;-130
-73;-130
-73;-130
