X;Y
132;-130
132;-130
132;-130
132;-130
132;-130
132;-130
132;-130
132;-130
132;-130
132;-130
132;-129
132;-126
132;-120
132;-117
132;-114
132;-110
132;-108
132;-105
132;-104
132;-102
132;-102
132;-102
132;-106
132;-109
132;-112
132;-119
130;-122
128;-124
124;-128
120;-130
117;-130
111;-130
105;-130
102;-130
101;-130
101;-130
101;-130
101;-130
101;-130
101;-130
101;-130
101;-128
101;-122
101;-119
101;-116
101;-112
101;-110
101;-110
101;-110
101;-110
101;-108
101;-103
101;-101
101;-100
101;-100
101;-100
101;-100
101;-100
99;-100
97;-100
92;-100
87;-100
86;-100
86;-98
86;-93
86;-91
86;-86
86;-84
86;-82
86;-80
86;-77
86;-75
86;-74
86;-74
86;-74
82;-74
80;-74
78;-74
76;-74
72;-74
70;-74
68;-74
66;-74
62;-72
62;-69
62;-67
62;-64
62;-59
62;-59
62;-59
62;-59
62;-59
62;-59
62;-59
60;-59
52;-59
48;-59
45;-59
41;-59
39;-59
39;-59
39;-59
39;-59
39;-59
39;-59
39;-59
39;-59
39;-59
39;-58
39;-56
39;-55
39;-51
39;-50
39;-48
39;-48
39;-48
39;-48
39;-48
39;-48
38;-42
36;-39
34;-36
33;-32
29;-28
29;-28
29;-28
29;-28
29;-28
29;-28
27;-28
23;-28
20;-28
18;-28
16;-28
15;-28
15;-28
15;-28
15;-28
15;-28
15;-26
15;-23
15;-19
15;-15
15;-15
15;-15
15;-15
15;-15
12;-15
6;-15
3;-15
0;-15
-2;-15
-2;-15
-2;-15
-2;-15
-3;-12
-5;-9
-6;-6
-11;3
-11;4
-11;4
-11;4
-11;4
-11;4
-11;4
-11;4
-11;4
-11;4
-11;5
-11;10
-11;13
-11;15
-11;18
-11;20
-11;20
-11;20
-11;20
-15;20
-19;20
-23;20
-30;20
-34;20
-36;22
-40;28
-42;30
-43;32
-44;33
-44;33
-44;33
-44;33
-44;35
-44;39
-44;41
-44;43
-44;43
-44;43
-44;43
-45;44
-47;47
-50;49
-57;57
-59;59
-59;59
-59;59
-59;59
-59;59
-63;59
-67;59
-69;59
-73;59
-74;59
-77;59
-80;59
-82;61
-83;65
-89;76
-91;79
-91;88
-91;98
-91;107
-91;110
-91;110
-91;110
-91;110
-91;110
-91;110
-91;110
-91;110
-91;110
