X;Y
-91;110
-94;110
-97;110
-105;110
-108;110
-108;110
-108;110
-108;110
-108;110
-108;110
-108;110
-108;110
-108;110
-108;110
-108;110
-108;110
-108;110
-108;110
-108;110
-108;110
-108;110
-108;110
-108;110
-108;110
-108;110
-101;110
-99;110
-97;110
-92;110
-87;110
-85;110
-78;110
-76;110
-71;110
-67;110
-65;110
-62;110
-53;110
-46;110
-39;110
-32;110
-24;110
-17;110
-13;110
-6;110
0;110
4;110
11;110
18;110
26;110
29;110
40;110
44;110
55;110
59;110
66;110
73;110
81;110
84;110
91;110
99;110
110;110
117;110
124;110
128;110
132;110
141;110
145;110
154;110
159;110
161;110
161;110
