x;y
-121;-121
-121;-121
-121;-121
-121;-121
-121;-121
-119;-121
-115;-121
-112;-121
-104;-121
-101;-121
-97;-121
-93;-121
-86;-121
-83;-121
-79;-121
-75;-121
-68;-121
-64;-121
-61;-121
-57;-121
-50;-121
-46;-121
-42;-121
-39;-121
-31;-121
-28;-121
-24;-121
-21;-121
-13;-121
-10;-121
-6;-121
-2;-121
4;-121
8;-121
11;-121
15;-121
22;-121
26;-121
30;-121
33;-121
41;-121
44;-121
48;-121
55;-121
59;-121
63;-121
67;-121
77;-121
82;-121
86;-121
96;-121
100;-121
105;-121
115;-121
119;-121
