;time;x;y;fx;fy
;63;120;-115;0;292
;126;120;-112;0;292
;189;120;-108;0;292
;252;120;-104;0;292
;315;120;-97;0;292
;378;120;-95;0;89
;441;120;-95;0;89
;504;120;-95;0;89
;567;120;-95;0;89
;630;120;-95;0;89
;693;120;-95;0;0
;756;120;-95;0;0
;819;120;-95;0;0
;882;120;-95;0;0
;945;120;-95;0;0
;1008;120;-95;0;0
;1071;120;-95;0;0
;1134;120;-95;0;0
;1197;120;-95;0;0
;1260;120;-95;0;0
;1323;120;-95;0;0
;1386;120;-95;0;0
;1449;120;-95;0;0
;1512;120;-95;0;0
;1575;120;-95;0;0
;1638;120;-95;0;0
;1701;120;-95;0;0
;1764;120;-95;0;0
;1827;120;-95;0;0
;1890;120;-95;0;0
;1953;120;-95;0;0
;2016;120;-95;0;0
;2079;120;-95;0;0
;2142;120;-95;0;0
;2205;120;-95;0;0
;2268;120;-95;0;0
;2331;120;-95;0;0
;2394;120;-95;0;0
;2457;120;-95;0;0
;2520;120;-95;0;0
;2583;120;-95;0;0
;2646;120;-95;0;0
;2709;120;-95;0;0
;2772;120;-95;0;0
;2835;120;-95;0;0
;2898;120;-95;0;0
;2961;120;-95;0;0
;3024;120;-95;0;0
;3087;120;-95;0;0
;3150;120;-95;0;0
;3213;120;-95;0;0
;3276;120;-95;0;0
;3339;120;-95;0;0
;3402;120;-95;0;0
;3465;120;-95;0;390
;3528;120;-91;0;390
;3591;120;-84;0;390
;3654;120;-80;0;390
;3717;120;-77;0;390
;3780;120;-73;0;462
;3843;120;-66;0;462
;3906;120;-62;0;462
;3969;120;-58;0;462
;4032;120;-55;0;462
;4095;120;-47;0;419
;4158;120;-44;0;419
;4221;120;-40;0;419
;4284;120;-36;0;419
;4347;120;-29;0;419
;4410;120;-24;0;250
;4473;120;-20;0;250
;4536;120;-15;0;250
;4599;120;-5;0;250
;4662;120;-1;0;250
;4725;120;3;0;250
;4788;120;5;0;97
;4851;120;5;0;97
;4914;120;5;0;97
;4977;120;5;0;97
;5040;120;5;0;97
;5103;120;7;0;115
;5166;120;8;0;115
;5229;120;10;0;115
;5292;120;11;0;115
;5355;120;15;0;425
;5418;120;19;0;425
;5481;120;22;0;425
;5544;120;26;0;425
;5607;120;33;0;425
;5670;120;37;0;138
;5733;120;39;0;138
;5796;120;41;0;138
;5859;120;45;0;138
;5922;120;47;0;138
;5985;120;48;0;95
;6048;120;48;0;95
;6111;120;48;0;95
;6174;120;48;0;95
;6237;120;48;0;95
;6300;120;48;0;471
;6363;120;55;0;471
;6426;120;59;0;471
;6489;120;63;0;471
;6552;120;66;0;471
;6615;120;74;0;359
;6678;120;77;0;359
;6741;120;81;0;359
;6804;120;85;0;359
;6867;120;88;0;359
;6930;120;95;0;215
;6993;120;99;0;215
;7056;120;102;0;215
;7119;120;108;0;215
;7182;120;112;0;215
;7245;120;114;0;118
;7308;120;115;0;118
;7371;120;118;0;118
;7434;120;120;0;118
;7497;120;121;0;118
;7560;120;122;0;0
;7623;120;122;0;-53
;7686;120;122;0;-53
;7749;120;122;0;-53
;7812;120;122;0;-53
;7875;120;122;0;-53
;7938;120;122;0;-53
;8001;120;122;0;0
;8064;120;122;0;0
;8127;120;122;0;0
;8190;120;122;0;0
;8253;120;122;0;0
;8316;120;122;0;0
;8379;120;122;0;0
;8442;120;122;-26;0
;8505;120;122;-26;0
;8568;120;122;-26;0
;8631;120;122;-26;0
;8694;120;119;-26;-134
;8757;120;117;-26;-134
;8820;120;115;-95;-134
;8883;120;112;-95;-134
;8946;120;111;-95;-60
;9009;120;111;-95;-60
;9072;120;111;-95;-60
;9135;117;111;-120;-60
;9198;115;111;-120;-60
;9261;113;111;-120;0
;9324;111;111;-120;0
;9387;107;111;-196;0
;9450;105;111;-196;0
;9513;102;111;-196;0
;9576;99;110;-196;-155
;9639;92;106;-196;-155
;9702;91;104;-35;-155
;9765;91;102;-35;-155
;9828;91;100;-35;-155
;9891;91;98;-35;-77
;9954;91;98;-35;-77
;10017;91;98;-57;-77
;10080;91;98;-57;-77
;10143;91;98;-57;-107
;10206;91;98;-57;-107
;10269;91;98;-57;-107
;10332;91;98;-57;-107
;10395;91;98;-213;-107
;10458;83;98;-213;-198
;10521;80;95;-213;-198
;10584;77;92;-213;-198
;10647;74;89;-213;-198
;10710;69;82;-143;-198
;10773;67;79;-143;0
;10836;65;79;-143;0
;10899;61;79;-143;0
;10962;59;79;-143;0
;11025;58;79;-39;0
;11088;58;79;-39;0
;11151;58;79;-39;-80
;11214;58;79;-39;-80
;11277;58;79;-39;-80
;11340;58;79;-99;-80
;11403;58;77;-99;-197
;11466;58;74;-99;-197
;11529;58;70;-99;-197
;11592;58;67;-99;-197
;11655;58;64;-100;-197
;11718;58;59;-100;-94
;11781;58;59;-100;-94
;11844;58;59;-100;-94
;11907;58;59;-100;-94
;11970;56;59;-121;-94
;12033;54;58;-121;-145
;12096;52;56;-121;-145
;12159;51;54;-121;-145
;12222;47;50;-210;-145
;12285;43;48;-210;-145
;12348;40;46;-210;-147
;12411;37;44;-210;-147
;12474;30;40;-210;-147
;12537;27;38;-152;-147
