x;y
-129;114
-129;114
-129;114
-129;114
-128;114
-127;114
-125;114
-124;114
-122;114
-119;114
-118;114
-118;114
-118;114
-118;114
-118;114
-118;114
-118;114
-118;114
-118;114
-118;114
-118;114
-118;114
-118;114
-118;114
-118;113
-118;112
-118;110
-118;109
-118;107
-118;104
-118;103
-118;99
-118;97
-118;95
-118;93
-118;91
-118;88
-118;86
-118;84
-118;82
-118;81
-118;78
-118;72
-118;70
-118;68
-118;66
-118;64
-118;60
-118;58
-118;55
-118;53
-118;50
-118;48
-118;43
-118;40
-118;38
-118;36
-118;32
-118;30
-118;28
-118;24
-118;22
-118;20
-118;16
-118;13
-118;11
-118;8
-118;3
-118;0
-118;-1
-118;-4
-118;-6
-118;-11
-118;-14
-118;-16
-118;-19
-118;-21
-118;-26
-118;-29
-118;-31
-118;-34
-118;-39
-118;-42
-118;-47
-118;-49
-118;-52
-118;-54
-118;-57
-118;-62
-118;-64
-118;-66
-118;-68
-118;-70
-118;-74
-118;-76
-118;-77
-118;-77
-118;-77
-118;-77
-118;-78
-118;-80
-118;-81
-118;-83
-118;-86
-118;-87
-118;-89
-118;-91
-118;-95
-118;-97
-118;-99
-118;-101
-118;-105
-118;-107
-118;-109
-118;-111
-118;-114
-118;-116
-118;-118
-118;-119
-118;-121
-118;-121
-118;-121
-118;-121
-118;-121
