x;y
120;-120
120;-120
120;-119
120;-111
120;-108
120;-104
120;-100
120;-92
120;-87
120;-82
120;-78
120;-68
120;-68
120;-62
120;-58
120;-55
120;-51
120;-45
120;-43
120;-41
120;-39
120;-34
120;-33
120;-33
120;-33
120;-33
120;-33
120;-33
120;-33
120;-23
120;-19
120;-14
120;-9
120;-5
120;-5
120;-5
120;-5
120;-5
120;-5
120;-5
120;-5
120;-5
120;-5
120;-3
120;-1
120;3
120;6
120;8
120;9
120;9
120;9
120;9
120;9
120;12
120;13
120;15
120;17
120;20
120;23
120;25
120;28
120;33
120;35
120;35
120;35
120;35
120;35
120;35
120;35
120;35
120;35
120;35
120;35
120;41
120;44
120;48
120;51
120;55
120;55
120;55
120;55
120;55
120;57
120;60
120;63
120;70
120;73
120;75
120;75
120;75
120;75
120;75
120;78
120;82
120;85
120;88
120;95
120;95
120;95
120;95
120;95
120;95
120;95
120;95
120;95
120;95
120;95
120;96
120;99
120;101
120;104
120;106
120;111
120;111
120;111
120;111
120;111
120;111
120;111
120;111
120;111
120;114
120;116
120;117
120;119
120;123
120;125
120;127
120;130
120;130
120;127
120;125
120;123
120;122
120;119
120;119
120;119
120;119
120;119
120;119
120;119
120;119
