x;y
120;117
120;117
120;117
120;117
120;115
120;114
120;112
120;108
120;107
120;107
120;107
120;107
120;107
120;107
120;107
120;107
120;107
120;107
120;107
120;107
120;107
120;108
120;112
120;114
120;116
120;118
120;119
120;119
120;119
120;119
120;119
120;119
120;119
120;119
120;119
120;119
120;119
120;119
120;119
120;119
120;119
120;119
120;119
120;119
120;119
118;119
116;119
112;119
110;119
108;119
102;119
99;119
96;119
94;118
90;114
90;112
90;109
90;107
90;101
90;98
90;94
90;91
90;86
90;86
90;86
88;86
85;86
83;86
81;86
80;86
80;86
80;86
80;86
80;86
80;86
80;86
80;86
80;86
80;86
80;86
80;86
80;86
80;84
80;81
80;79
80;74
80;71
80;71
80;71
79;71
75;71
73;71
71;71
69;71
64;71
61;71
58;71
55;71
50;71
50;71
50;71
50;71
50;68
50;66
50;64
50;60
50;58
50;56
50;56
46;56
45;56
43;56
40;56
38;56
36;56
34;56
32;56
30;56
28;50
28;46
28;40
28;36
28;34
28;32
28;30
28;26
28;24
28;23
23;23
20;23
17;23
14;23
11;23
8;23
1;23
-2;23
-6;23
-12;21
-12;19
-12;17
-12;16
-12;14
-12;10
-12;8
-12;6
-12;2
-12;1
-12;0
-12;0
-12;0
-12;0
-12;0
-12;0
-12;0
-12;0
-12;0
-12;0
-12;0
-12;-6
-12;-8
-12;-13
-12;-15
-12;-15
-12;-15
-12;-15
-12;-15
-12;-15
-13;-15
-15;-15
-20;-15
-22;-15
-25;-15
-30;-18
-30;-18
-35;-21
-38;-23
-43;-26
-44;-28
-46;-29
-47;-31
-50;-34
-52;-34
-52;-34
-52;-34
-52;-34
-52;-34
-52;-34
-52;-34
-52;-34
-52;-34
-52;-34
-52;-36
-52;-38
-52;-42
-52;-44
-52;-46
-53;-50
-53;-50
-56;-54
-57;-57
-60;-61
-60;-61
-64;-62
-66;-62
-70;-62
-72;-62
-73;-62
-73;-62
-73;-62
-73;-62
-73;-62
-73;-62
-73;-64
-73;-68
-73;-71
-73;-73
-73;-75
-79;-75
-82;-75
-85;-75
-88;-75
-93;-76
-95;-78
-97;-79
-101;-83
-101;-83
-104;-88
-104;-91
-104;-94
-104;-101
-104;-104
-105;-106
-106;-106
-109;-106
-111;-106
-112;-106
-113;-106
-113;-106
-113;-106
-113;-106
-113;-106
-113;-106
-113;-106
-113;-106
-113;-106
-113;-106
-113;-106
-113;-106
-113;-106
-113;-106
-113;-106
-113;-108
-113;-112
-113;-112
-113;-116
-113;-118
-113;-120
-113;-123
-113;-124
-113;-126
-113;-127
-114;-127
-117;-127
-119;-127
-124;-127
-124;-127
-127;-127
-127;-127
-127;-127
-127;-127
-127;-127
-127;-127
-127;-127
-127;-127
-127;-127
-127;-127
-127;-127
-127;-127
-127;-127
-127;-127
-127;-127
-127;-127
