x;y
125;-129
127;-129
130;-129
132;-129
135;-129
137;-129
137;-129
137;-129
137;-129
137;-129
137;-126
137;-121
137;-119
137;-116
137;-114
137;-114
137;-114
137;-114
137;-114
137;-114
137;-114
137;-114
137;-114
137;-114
137;-114
137;-114
137;-114
137;-114
136;-114
132;-114
131;-114
127;-114
126;-114
124;-114
123;-114
121;-114
118;-114
117;-114
117;-114
117;-114
117;-114
117;-114
117;-114
117;-114
117;-114
117;-114
117;-114
117;-114
115;-114
111;-111
109;-109
105;-104
105;-104
102;-99
100;-98
99;-98
96;-98
96;-98
96;-98
96;-98
96;-98
96;-98
94;-98
92;-98
87;-98
85;-98
83;-98
80;-98
78;-98
73;-98
71;-98
69;-98
67;-98
67;-98
67;-98
67;-98
67;-98
67;-98
67;-98
67;-96
67;-93
67;-91
67;-90
67;-88
67;-88
67;-88
67;-88
67;-88
67;-88
67;-88
67;-88
67;-88
67;-88
67;-85
67;-82
67;-79
67;-72
67;-69
67;-67
67;-67
67;-67
67;-67
67;-67
67;-67
67;-67
67;-67
66;-67
64;-67
62;-67
59;-67
57;-67
55;-67
55;-67
55;-65
55;-64
55;-62
55;-59
55;-59
55;-54
55;-51
55;-44
55;-41
55;-38
55;-37
55;-37
55;-37
54;-37
50;-37
48;-37
46;-37
44;-37
42;-37
40;-37
36;-37
34;-37
31;-37
31;-37
31;-37
31;-37
31;-37
31;-37
31;-37
27;-37
25;-37
21;-37
19;-37
17;-37
14;-37
10;-37
7;-37
5;-37
5;-37
5;-37
5;-30
5;-27
5;-24
5;-17
5;-17
5;-17
5;-17
5;-17
5;-17
5;-17
5;-17
5;-17
4;-17
2;-17
0;-12
-2;-9
-3;-6
-4;-2
-4;0
-4;2
-4;2
-4;2
-4;1
-4;-1
-4;-2
-4;-4
-5;-6
-8;-6
-11;-6
-13;-4
-16;-3
-19;-1
-22;2
-22;3
-22;3
-22;3
-22;3
-22;3
-22;3
-22;3
-22;3
-22;3
-23;3
-27;5
-28;8
-30;11
-32;13
-33;18
-33;20
-33;20
-33;20
-33;20
-33;20
-33;20
-33;20
-33;20
-33;20
-36;20
-39;20
-45;23
-48;24
-50;26
-50;27
-50;29
-50;29
-50;29
-50;29
-50;29
-50;29
-50;29
-50;29
-50;29
-51;29
-53;29
-56;29
-57;29
-59;29
-59;29
-59;29
-59;29
-59;29
-59;29
-59;29
-59;36
-59;41
-59;46
-59;55
-59;58
-59;58
-59;58
-59;56
-59;52
-59;47
-59;42
-59;37
-59;28
-59;28
-59;29
-66;36
-70;39
-73;43
-76;46
-79;49
-79;49
-79;49
-79;49
-79;48
-79;45
-79;43
-79;42
-79;40
-79;40
-79;43
-79;46
-79;54
-79;57
-79;61
-79;64
-79;69
-79;71
-79;71
-79;69
-79;64
-79;61
-79;59
-79;57
-79;57
-79;62
-79;66
-79;69
-79;77
-79;80
-79;85
-79;90
-79;99
-79;104
-79;109
-79;107
-79;104
-79;99
-79;99
-79;99
-79;99
-79;99
-79;99
-79;99
-79;99
-79;99
-79;99
-79;99
-79;99
-79;99
-82;99
-86;99
-89;99
-97;99
-101;100
-104;101
-107;103
-114;106
-120;109
-123;109
-123;109
-123;109
-123;109
-123;109
-123;109
-123;109
-123;109
-123;109
-123;113
-123;116
-123;120
-123;124
-123;127
-123;130
-123;130
