x;y
118;130
118;130
118;130
118;130
118;130
118;130
116;130
112;130
109;130
107;130
105;130
100;130
98;130
95;130
93;130
89;130
89;130
89;130
89;130
89;130
89;130
87;130
85;130
82;130
80;130
78;130
76;130
70;130
67;130
64;130
61;130
58;130
52;130
50;130
47;130
44;130
38;130
35;130
32;130
26;130
24;130
21;130
18;130
12;130
9;130
6;130
3;130
-1;130
-4;130
-7;130
-10;130
-13;130
-19;130
-22;130
-25;130
-30;130
-33;130
-36;130
-39;130
-45;130
-48;130
-50;130
-53;130
-56;130
-62;130
-64;130
-67;130
-71;130
-74;130
-76;130
-78;130
-80;130
-84;130
-86;130
-88;130
-90;130
-94;130
-96;130
-98;130
-102;130
-103;130
-105;130
-108;130
-110;130
-111;130
-111;130
-111;130
-111;130
-111;130
-111;130
-111;130
-111;130
-111;130
-111;130
-111;130
-116;130
-119;130
-121;130
-123;130
-126;130
-126;130
-126;130
-126;130
-126;130
-126;126
